number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
4,0.5096065375539369,2024-12-05 14:40:24.923303,2024-12-05 14:44:04.706385,0 days 00:03:39.783082,4.5959008055313647e-07,87,7,147,0.028018713064301547,0.7616215022001347,IncToDec,27,0.6897956048096643,COMPLETE
37,0.5109378870483703,2024-12-05 15:08:24.757951,2024-12-05 15:10:50.844372,0 days 00:02:26.086421,9.165039210366717e-06,94,4,142,0.10606039537349418,0.9672583379413593,IncToDec,21,6.897764481967823e-09,COMPLETE
36,0.5109833567956765,2024-12-05 15:08:21.273966,2024-12-05 15:10:54.482912,0 days 00:02:33.208946,1.590999395178812e-05,95,4,181,0.10828031413108682,0.09073310674925376,IncToDec,20,5.646177826983745e-09,COMPLETE
67,0.5123167117452352,2024-12-05 15:33:16.562908,2024-12-05 15:39:02.707221,0 days 00:05:46.144313,0.029376335209149586,126,7,495,0.013587855237791073,0.051036020088946955,Iter,22,1.2984116694021203e-08,COMPLETE
68,0.5139690996910953,2024-12-05 15:37:39.644785,2024-12-05 15:43:47.519963,0 days 00:06:07.875178,0.03145780491041771,124,7,499,0.018175809622018927,0.051361349635124516,Iter,22,6.392906277171429e-08,COMPLETE
5,0.517718936789794,2024-12-05 14:40:28.257440,2024-12-05 14:43:55.112525,0 days 00:03:26.855085,5.493099828798116e-05,56,8,306,2.386564416907e-06,0.0062449860280259905,Iter,28,0.0102995042871023,COMPLETE
65,0.5177885658215965,2024-12-05 15:32:06.371322,2024-12-05 15:37:39.632503,0 days 00:05:33.261181,2.2933645115667753e-05,128,7,443,0.019727165510013554,0.2909834165019842,IncToDec,17,1.3087823366764716e-08,COMPLETE
6,0.520306878368306,2024-12-05 14:40:28.257440,2024-12-05 14:44:24.099604,0 days 00:03:55.842164,2.688729023519612e-05,104,4,152,0.09031715586452878,0.8659223900637842,IncToDec,10,7.8773259362527e-09,COMPLETE
7,0.520306878368306,2024-12-05 14:40:28.282577,2024-12-05 14:44:21.861135,0 days 00:03:53.578558,0.00016191539204304492,127,4,467,5.600687678607642e-06,0.18661010876499626,IncToDec,15,4.757458545167066e-05,COMPLETE
22,0.5250718324013763,2024-12-05 14:58:07.134919,2024-12-05 15:01:15.417908,0 days 00:03:08.282989,0.7679213461758977,32,5,227,0.00017480053768833767,0.00017510671049710127,IncToDec,18,0.07684168580670249,COMPLETE
23,0.5250718324013763,2024-12-05 14:58:07.203993,2024-12-05 15:01:12.389652,0 days 00:03:05.185659,0.0059416553273730155,34,5,211,0.00017052267486118296,0.1837926608149896,IncToDec,23,0.06710467515695569,COMPLETE
66,0.5278641687062906,2024-12-05 15:33:05.480138,2024-12-05 15:39:00.451512,0 days 00:05:54.971374,0.0004495192880495226,125,7,485,0.01817992597478793,0.02172536091709793,IncToDec,22,1.3465903674036786e-08,COMPLETE
73,0.5459632235297088,2024-12-05 15:43:53.971573,2024-12-05 15:48:57.080414,0 days 00:05:03.108841,0.0028636310729104044,114,7,405,0.001967038654196125,0.013196336679168273,IncToDec,21,0.002306697349497141,COMPLETE
72,0.5460096868038905,2024-12-05 15:43:47.553318,2024-12-05 15:48:59.855698,0 days 00:05:12.302380,0.19317246207061972,114,7,450,0.0013250938144721942,0.009300531923621666,IncToDec,15,0.0017383326306627293,COMPLETE
41,0.5513587561632886,2024-12-05 15:10:54.486195,2024-12-05 15:14:52.606258,0 days 00:03:58.120063,6.315995540049846e-05,104,6,132,0.0329882369248081,0.016469990861075107,IncToDec,16,2.2801660946185587e-08,COMPLETE
28,0.5529199788538413,2024-12-05 15:03:17.087930,2024-12-05 15:05:37.700018,0 days 00:02:20.612088,0.0001771592298733658,115,6,101,0.7301709502229617,0.27467003520951283,IncToDec,28,5.326066271745998e-08,COMPLETE
69,0.5534726305162572,2024-12-05 15:37:39.679631,2024-12-05 15:43:53.957696,0 days 00:06:14.278065,0.0349202878768451,124,7,485,0.015814336906901764,0.05192587611476877,Iter,22,4.231357322899523e-08,COMPLETE
71,0.5542384291531589,2024-12-05 15:39:02.715725,2024-12-05 15:44:53.386007,0 days 00:05:50.670282,0.017088156414361236,117,7,412,0.0015266620356615365,0.05976173102071038,IncToDec,21,8.239896090148595e-08,COMPLETE
29,0.5543182620871377,2024-12-05 15:03:20.799103,2024-12-05 15:05:38.516534,0 days 00:02:17.717431,0.0002466808482028361,112,5,101,0.8589443767709551,0.3698192169293127,IncToDec,18,1.0349982493251864e-09,COMPLETE
70,0.5546655919278651,2024-12-05 15:39:00.465669,2024-12-05 15:44:53.199737,0 days 00:05:52.734068,0.031915393964010275,117,7,500,0.001281659291469872,0.010611712363756876,Iter,22,6.646072758279316e-08,COMPLETE
31,0.5597988707456386,2024-12-05 15:03:46.355650,2024-12-05 15:06:04.060237,0 days 00:02:17.704587,0.0002739743936380703,114,5,101,0.7722191166095888,0.2680307785910238,IncToDec,18,7.671564496391025e-08,COMPLETE
30,0.5718895046313651,2024-12-05 15:03:44.054683,2024-12-05 15:06:13.858884,0 days 00:02:29.804201,0.000239398181731121,112,5,123,0.92598128241455,0.2428821597693197,IncToDec,18,1.0628347433793339e-09,COMPLETE
9,0.5794779903099017,2024-12-05 14:44:04.716462,2024-12-05 14:47:56.185746,0 days 00:03:51.469284,0.0006385194492247593,126,8,294,0.0005977649724591453,0.04553486733843726,IncToDec,15,0.014207356133134532,COMPLETE
11,0.5882915392387111,2024-12-05 14:44:24.101601,2024-12-05 14:48:54.161671,0 days 00:04:30.060070,1.61527496592732e-07,126,8,301,0.006761308692912739,0.033098065052850886,Iter,29,3.6923134762832266,COMPLETE
38,0.5883713911089006,2024-12-05 15:08:54.222235,2024-12-05 15:11:26.540581,0 days 00:02:32.318346,1.1052531267890503e-05,105,4,140,0.058797938987472785,0.9421112419283936,IncToDec,16,6.748425059552185e-09,COMPLETE
39,0.5883715104075466,2024-12-05 15:08:55.398812,2024-12-05 15:11:23.952688,0 days 00:02:28.553876,3.828963772770269e-05,107,4,141,0.05475874608576518,0.9903752699541359,IncToDec,16,5.125249274759484e-09,COMPLETE
34,0.5893598176034809,2024-12-05 15:06:04.060237,2024-12-05 15:08:55.365606,0 days 00:02:51.305369,8.454399866764706e-06,107,5,173,0.14685757741114733,0.08755625139140774,IncToDec,20,1.86186275224974e-09,COMPLETE
33,0.5921511320033496,2024-12-05 15:05:38.571469,2024-12-05 15:08:24.757951,0 days 00:02:46.186482,0.004029591682053776,97,5,174,0.005481174974613776,0.10643842227507809,IncToDec,18,1.49155927530091e-07,COMPLETE
32,0.5921511320033496,2024-12-05 15:05:38.516534,2024-12-05 15:08:21.273966,0 days 00:02:42.757432,0.005927487820377704,117,5,172,0.16918075435861168,0.08435562118905365,IncToDec,18,3.0189867610909735e-07,COMPLETE
35,0.5974024088481564,2024-12-05 15:06:13.875569,2024-12-05 15:08:54.198827,0 days 00:02:40.323258,8.593808344015207e-06,96,6,178,0.14585553581907812,0.08376179993100104,IncToDec,20,4.641813599418349e-07,COMPLETE
40,0.6404246608096805,2024-12-05 15:10:50.867517,2024-12-05 15:14:45.946205,0 days 00:03:55.078688,4.5179146639069244e-05,107,6,133,0.031112907218855033,0.015852102286589658,IncToDec,16,1.2934111862511076e-08,COMPLETE
