id;starttime;endtime;description;type;subtype;street;polyline;direction
20241003T082352_282_569;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8637319223259254 2.3320446920555993 48.8643927447054551 2.3300736682310164;ONE_DIRECTION
20241119T213641_5439_36;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Passy_Muette;48.8592856492021923 2.2628053466694884 48.8597781326184162 2.2632806447094374 48.8611624021858617 2.2641514368585232;ONE_DIRECTION
20241119T223000_1227_1514;2024-11-19T22:30:00+01:00;2024-11-20T06:00:00+01:00;Fermeture Sout_Citroen;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Sout_Citroen;48.8418255917793402 2.2732245824435182 48.8406501325171050 2.2722129474940629 48.8405039379299097 2.2718343410320325;ONE_DIRECTION
20241119T213641_5156_951;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Lafont;48.8367588145662097 2.2561255193395238 48.8370724371150970 2.2558249182074386 48.8375140367039151 2.2553272741528199 48.8379382328274332 2.2549843868121182;ONE_DIRECTION
20241119T213641_5159_393;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Lafont;48.8352751472754321 2.2599065972328742 48.8354782093551734 2.2595201595809860 48.8355819590286799 2.2591377734993423 48.8357442140039240 2.2587078235771569 48.8358734323376780 2.2585721978760560 48.8359922439804066 2.2586468299014930 48.8361315465722541 2.2586987592099916 48.8362588517109941 2.2586186780450901 48.8362766225257232 2.2579571639828586 48.8362934728535123 2.2572754579235323;ONE_DIRECTION
20241025T132736_1042_922;2024-10-25T13:27:36+01:00;2024-12-20T18:00:00+01:00;STV - Bd_Victor Aménagement de la voirie;CONSTRUCTION;;Bd_Victor;48.8327670935763010 2.2884215697166312 48.8335176535915565 2.2865546080570525;ONE_DIRECTION
20240916T080006_4333_1126;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8782261612879907 2.2956320982000560 48.8777475928357248 2.2977011398219096;ONE_DIRECTION
20241107T103554_1228_42;2024-11-07T10:35:54+01:00;2024-12-27T14:34:00+01:00;Sout_Citroen;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Sout_Citroen;48.8417607396642168 2.2734024963064510 48.8434186835048010 2.2748639325929458;ONE_DIRECTION
20241107T103554_1230_1115;2024-11-07T10:35:54+01:00;2024-12-27T14:34:00+01:00;Sout_Citroen;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Souterrain_Citroen;48.8434186835048010 2.2748639325929458 48.8450218763775581 2.2762772076993771 48.8451286297023515 2.2766724994836687 48.8451695217600061 2.2770604761186251;ONE_DIRECTION
20240617T083355_4821_3160;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Av_Daumesnil;48.8398057767013327 2.3950967602499755 48.8403271480399113 2.3927878799449553;ONE_DIRECTION
